schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,4096,3000,bfloat16,bfloat16,same,1e-06,36851.098718,False,45.018668,43.811198,47.636268,73756384,1638.351096,4312.724204,37.988775,3,221269152,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,bfloat16,bfloat16,same,1e-06,1.776732,False,46.405333,45.453867,47.919998,73756384,1589.394571,4312.724204,36.85361,3,221269152,188743680,False,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,bfloat16,bfloat16,same,1e-06,,False,70.378669,69.285332,80.105599,73756384,1047.993454,4312.724204,24.300034,3,221269152,188743680,False,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,4096,3000,bfloat16,float32,float32,1e-06,11161.717152,False,19.436,19.169601,20.0168,49164000,2529.532837,4312.724204,58.652785,4,196656000,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,bfloat16,float32,float32,1e-06,1.557261,False,20.044,19.8536,20.175201,49164000,2452.803845,4312.724204,56.873654,4,196656000,188743680,False,12
2,torch,torch.nn.functional.rms_norm,fwd,4096,3000,bfloat16,float32,float32,1e-06,,False,190.191999,190.099205,190.849595,49164000,258.496678,4312.724204,5.993814,4,196656000,188743680,False,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,4096,3000,bfloat16,float32,float32,1e-06,37698.446326,False,38.576001,38.148266,43.268267,73768384,1912.286984,4312.724204,44.340581,3,221305152,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,bfloat16,float32,float32,1e-06,1.738186,False,41.493334,41.170134,44.902401,73768384,1777.836995,4312.724204,41.223063,3,221305152,188743680,False,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,bfloat16,float32,float32,1e-06,,False,453.504006,451.818653,454.349852,73768384,162.663136,4312.724204,3.771703,3,221305152,188743680,False,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,4096,3000,float32,float32,same,1e-06,12150.25997,False,33.639999,33.016001,34.166399,98316000,2922.59223,4312.724204,67.766731,2,196632000,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float32,float32,same,1e-06,1.573101,False,34.264,33.523198,34.900801,98316000,2869.367255,4312.724204,66.532593,2,196632000,188743680,False,12
2,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float32,float32,same,1e-06,,False,37.471998,36.7664,39.0448,98316000,2623.71915,4312.724204,60.836701,2,196632000,188743680,False,12
