2026/09/25 01:17:41.980, 1, 2070 MHz, 3996 MHz, 407.39 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:41.980, 2, 2070 MHz, 3996 MHz, 398.70 W, 36, 75 %, 0x0000000000000000
2026/09/25 01:17:41.980, 3, 2070 MHz, 3996 MHz, 409.78 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:17:42.181, 0, 2070 MHz, 3996 MHz, 402.70 W, 37, 88 %, 0x0000000000000000
2026/09/25 01:17:42.181, 1, 2070 MHz, 3996 MHz, 406.41 W, 37, 69 %, 0x0000000000000000
2026/09/25 01:17:42.181, 2, 2070 MHz, 3996 MHz, 393.53 W, 37, 34 %, 0x0000000000000000
2026/09/25 01:17:42.181, 3, 2070 MHz, 3996 MHz, 406.02 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:42.381, 0, 2070 MHz, 3996 MHz, 403.16 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:17:42.381, 1, 2070 MHz, 3996 MHz, 403.32 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:42.381, 2, 2070 MHz, 3996 MHz, 393.48 W, 37, 19 %, 0x0000000000000000
2026/09/25 01:17:42.381, 3, 2070 MHz, 3996 MHz, 399.73 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:17:42.581, 0, 2070 MHz, 3996 MHz, 401.85 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:42.581, 1, 2070 MHz, 3996 MHz, 398.03 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:42.581, 2, 2070 MHz, 3996 MHz, 390.30 W, 37, 49 %, 0x0000000000000000
2026/09/25 01:17:42.581, 3, 2070 MHz, 3996 MHz, 396.67 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:42.781, 0, 2070 MHz, 3996 MHz, 399.53 W, 36, 82 %, 0x0000000000000000
2026/09/25 01:17:42.781, 1, 2070 MHz, 3996 MHz, 394.36 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:42.781, 2, 2070 MHz, 3996 MHz, 384.86 W, 36, 60 %, 0x0000000000000000
2026/09/25 01:17:42.781, 3, 2070 MHz, 3996 MHz, 393.24 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:42.981, 0, 2070 MHz, 3996 MHz, 397.94 W, 36, 86 %, 0x0000000000000000
2026/09/25 01:17:42.981, 1, 2070 MHz, 3996 MHz, 390.36 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:42.981, 2, 2070 MHz, 3996 MHz, 381.20 W, 36, 65 %, 0x0000000000000000
2026/09/25 01:17:42.981, 3, 2070 MHz, 3996 MHz, 388.16 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:43.181, 0, 2070 MHz, 3996 MHz, 400.89 W, 36, 77 %, 0x0000000000000000
2026/09/25 01:17:43.181, 1, 2070 MHz, 3996 MHz, 392.52 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:43.181, 2, 2070 MHz, 3996 MHz, 384.23 W, 36, 64 %, 0x0000000000000000
2026/09/25 01:17:43.181, 3, 2070 MHz, 3996 MHz, 390.68 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:43.381, 0, 2070 MHz, 3996 MHz, 401.15 W, 36, 80 %, 0x0000000000000000
2026/09/25 01:17:43.381, 1, 2070 MHz, 3996 MHz, 394.08 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:43.381, 2, 2070 MHz, 3996 MHz, 386.64 W, 37, 67 %, 0x0000000000000000
2026/09/25 01:17:43.381, 3, 2070 MHz, 3996 MHz, 398.86 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:43.581, 0, 2070 MHz, 3996 MHz, 398.81 W, 36, 89 %, 0x0000000000000000
2026/09/25 01:17:43.581, 1, 2070 MHz, 3996 MHz, 395.80 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:43.581, 2, 2070 MHz, 3996 MHz, 386.16 W, 37, 63 %, 0x0000000000000000
2026/09/25 01:17:43.582, 3, 2070 MHz, 3996 MHz, 400.67 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:43.782, 0, 2070 MHz, 3996 MHz, 398.78 W, 36, 84 %, 0x0000000000000000
2026/09/25 01:17:43.782, 1, 2070 MHz, 3996 MHz, 397.87 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:43.782, 2, 2070 MHz, 3996 MHz, 389.10 W, 36, 63 %, 0x0000000000000000
2026/09/25 01:17:43.782, 3, 2070 MHz, 3996 MHz, 398.92 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:43.982, 0, 2070 MHz, 3996 MHz, 386.50 W, 36, 62 %, 0x0000000000000000
2026/09/25 01:17:43.982, 1, 2070 MHz, 3996 MHz, 385.53 W, 36, 95 %, 0x0000000000000000
2026/09/25 01:17:43.982, 2, 2070 MHz, 3996 MHz, 380.35 W, 36, 16 %, 0x0000000000000000
2026/09/25 01:17:43.982, 3, 2070 MHz, 3996 MHz, 389.92 W, 37, 74 %, 0x0000000000000000
2026/09/25 01:17:44.182, 0, 2070 MHz, 3996 MHz, 383.33 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:44.182, 1, 2070 MHz, 3996 MHz, 379.54 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:17:44.182, 2, 2070 MHz, 3996 MHz, 374.09 W, 37, 19 %, 0x0000000000000000
2026/09/25 01:17:44.182, 3, 2070 MHz, 3996 MHz, 386.56 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:17:44.382, 0, 2070 MHz, 3996 MHz, 383.78 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:17:44.382, 1, 2070 MHz, 3996 MHz, 379.62 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:44.382, 2, 2070 MHz, 3996 MHz, 371.71 W, 37, 58 %, 0x0000000000000000
2026/09/25 01:17:44.382, 3, 2070 MHz, 3996 MHz, 385.03 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:44.582, 0, 2070 MHz, 3996 MHz, 390.00 W, 37, 85 %, 0x0000000000000000
2026/09/25 01:17:44.582, 1, 2070 MHz, 3996 MHz, 383.82 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:44.582, 2, 2070 MHz, 3996 MHz, 380.28 W, 37, 81 %, 0x0000000000000000
2026/09/25 01:17:44.582, 3, 2070 MHz, 3996 MHz, 387.94 W, 37, 100 %, 0x0000000000000000
